epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.3168,1.97749,4.98064,1.88214,0.07782,0.09995,0.06353,0.03153,1.59204,5.14066,1.99807,2.727e-05,2.727e-05,2.727e-05
2,93.9968,1.51496,3.77675,1.57534,0.23284,0.26097,0.23643,0.15808,1.39548,4.81825,1.75366,6.04803e-05,6.04803e-05,6.04803e-05
3,137.78,1.43293,2.74723,1.47965,0.59824,0.4665,0.51218,0.32166,1.28105,4.322,1.59956,9.0091e-05,9.0091e-05,9.0091e-05
4,183.288,1.35862,2.3506,1.47558,0.57904,0.50364,0.59112,0.3689,1.2903,3.44101,1.52853,0.000116102,0.000116102,0.000116102
5,225.011,1.29078,2.12516,1.39438,0.57643,0.57708,0.59487,0.39312,1.24937,3.16909,1.48123,0.000138513,0.000138513,0.000138513
6,265.305,1.27952,1.8275,1.33753,0.55633,0.721,0.65846,0.43009,1.18017,2.956,1.47241,0.000157325,0.000157325,0.000157325
7,308.919,1.32055,1.76174,1.40081,0.76436,0.7116,0.79839,0.53488,1.16596,2.63048,1.49006,0.000172537,0.000172537,0.000172537
8,349.322,1.23349,1.6928,1.33163,0.73318,0.77242,0.84128,0.59082,1.11879,2.21899,1.39996,0.00018415,0.00018415,0.00018415
9,389.953,1.13744,1.55271,1.2591,0.8355,0.7559,0.86982,0.60648,1.13139,2.06721,1.42439,0.000192163,0.000192163,0.000192163
10,429.247,1.16249,1.37849,1.22123,0.78466,0.78157,0.88629,0.63516,1.1094,2.07399,1.41318,0.000196576,0.000196576,0.000196576
11,468.082,1.20866,1.49481,1.26663,0.87841,0.79378,0.90928,0.64771,1.03501,1.75251,1.33925,0.000197389,0.000197389,0.000197389
12,510.651,1.13994,1.60255,1.34194,0.82364,0.80153,0.90706,0.64377,1.0758,1.6811,1.37526,0.000194603,0.000194603,0.000194603
13,551.221,1.00553,1.404,1.23865,0.89047,0.82188,0.91506,0.64406,1.09613,1.73552,1.38638,0.000188218,0.000188218,0.000188218
14,593.901,1.096,1.22554,1.15805,0.82152,0.86926,0.92129,0.68487,1.01819,1.6615,1.3083,0.000178232,0.000178232,0.000178232
15,632.718,1.03583,1.2747,1.22398,0.87613,0.85771,0.93585,0.7228,0.91082,1.37397,1.20545,0.000164647,0.000164647,0.000164647
16,670.543,1.03599,1.20854,1.17391,0.87237,0.87272,0.94532,0.744,0.90089,1.26531,1.18735,0.000147463,0.000147463,0.000147463
17,708.362,1.07935,1.2031,1.17816,0.89012,0.85919,0.94835,0.7495,0.88525,1.1732,1.17365,0.000126678,0.000126678,0.000126678
18,746.525,0.99933,1.01783,1.10636,0.90934,0.8935,0.95178,0.75139,0.85879,1.0911,1.15528,0.000102294,0.000102294,0.000102294
19,784.396,1.01533,1.03463,1.10602,0.91472,0.90678,0.95987,0.76214,0.85809,1.06743,1.15217,7.43107e-05,7.43107e-05,7.43107e-05
20,822.15,1.00155,1.10776,1.16979,0.91124,0.92933,0.96348,0.76301,0.85338,1.04101,1.14946,4.27275e-05,4.27275e-05,4.27275e-05
